f1-score,recall,precision,kappa,last_f1-score,last_recall,last_precision,last_kappa,f1-score_pred_0_with_drift,f1-score_pred_0_without_drift,recall_pred_0_with_drift,recall_pred_0_without_drift,precision_pred_0_with_drift,precision_pred_0_without_drift,kappa_pred_0_with_drift,kappa_pred_0_without_drift
0.05,0.05,0.05,0.0054699154649425,0.13,0.13,0.13,0.0924264552472353,0.1083591846224948,0.0972209508840678,0.10786411827796377,0.09366152131386328,0.10698996462276826,0.09723028520448522,0.06781366858170465,0.05610440270650021
0.045,0.045,0.045,0.0051565185686753,0.13,0.13,0.13,0.0924264552472353,0.11292455245855862,0.09587742581972354,0.11170574079628981,0.09324562366342663,0.11235571722503322,0.09629997237069661,0.07297252219587588,0.055522284352377306
0.04,0.04,0.04,-2.604234485237278e-05,0.13,0.13,0.13,0.0930650751869902,0.1138548097462503,0.09400705688383451,0.11274537094149518,0.0906006316270308,0.11420772190818805,0.09325983801876454,0.07507497894726077,0.05334297286029272
0.04,0.04,0.04,0.0,0.115,0.115,0.115,0.0775244299674267,0.11612706278389393,0.09400705688383451,0.11478502630601191,0.0906006316270308,0.11390800658672702,0.09325983801876454,0.07648951862256478,0.05334297286029272
0.045,0.045,0.045,0.0,0.115,0.115,0.115,0.0761522000104388,0.10022728528101166,0.09400705688383451,0.099128292449692,0.0906006316270308,0.09685975171233119,0.09325983801876454,0.06120391551800101,0.05334297286029272
0.04,0.04,0.04,-0.000312597686777,0.115,0.115,0.115,0.0748725989807918,0.10848103965627162,0.07558583887030557,0.10590877262102627,0.07221387548376941,0.10592351943057586,0.07772811105724281,0.06822989841679322,0.034892465778023116
0.04,0.04,0.04,0.0,0.1,0.1,0.1,0.0618892508143322,0.10956228659629069,0.0768782353952126,0.10704760580400585,0.07401084461237183,0.10634294024033394,0.0780181530812667,0.06875241422426016,0.03585113043556912
0.04,0.04,0.04,-0.0003386563159402,0.075,0.075,0.075,0.0363328558406041,0.10136885820125971,0.07967722295228159,0.10060551384516628,0.07538721768076125,0.09955892149921185,0.07824592827675789,0.05994143347269776,0.03735145043793841
0.045,0.045,0.045,2.617732520093785e-05,0.06,0.06,0.06,0.019300991131977,0.10096327962080298,0.07967722295228159,0.10024471534757616,0.07538721768076125,0.09955892149921185,0.07824592827675789,0.05994143347269776,0.03735145043793841
0.04,0.04,0.04,-0.0007557791040107,0.055,0.055,0.055,0.0108854929872304,0.08236300810504742,0.08014197864106305,0.08072737378236922,0.07538721768076125,0.07999942605950619,0.07834156751422269,0.03961896991011861,0.037438567432485366
0.045,0.045,0.045,0.0051824266256932,0.05,0.05,0.05,0.009771986970684,0.07507165663561281,0.06925124569926226,0.07484228603030002,0.06814479726992653,0.07362976716987518,0.06822651769529,0.03488759703226556,0.02929404204129571
0.055,0.055,0.055,0.0143929912390488,0.05,0.05,0.05,0.0102877978903503,0.08752823609714223,0.06372935001188014,0.08959532103065275,0.06396660667169492,0.08738878742631347,0.06215474014916141,0.04628963474521694,0.024845719552916312
0.065,0.065,0.065,0.0215827338129498,0.05,0.05,0.05,0.0091523037208938,0.08320087883709824,0.06582531280533407,0.08418523133911,0.06604571875082577,0.08285570219049034,0.06401867104618726,0.04323259877368633,0.027399139281047705
0.07,0.07,0.07,0.0306441525953722,0.055,0.055,0.055,0.0110925073252405,0.0847838701537914,0.07267267055189154,0.08581308211231471,0.06974295508102364,0.08524557272342474,0.07026284236778207,0.04543170801291848,0.03210215633210776
0.07,0.07,0.07,0.0312247714784239,0.05,0.05,0.05,0.0102104605126068,0.1026187378000329,0.07125341749560377,0.10299429922279713,0.0684092308795255,0.1043873682949885,0.06898874470036964,0.06382549546393208,0.030171132348803104
0.07,0.07,0.07,0.0291515515306521,0.05,0.05,0.05,0.0102104605126069,0.09271957816597456,0.06008633621018938,0.09414145803273133,0.060451314852901,0.09626173889065853,0.06106048565461039,0.053935408440797056,0.020455049540289795
0.075,0.075,0.075,0.0327050273195472,0.05,0.05,0.05,0.009668760261656,0.09275052478337815,0.06574690945856514,0.09361361757529842,0.06538133378773911,0.0954283076658222,0.06638340613804565,0.05332764013667351,0.025836549482407566
0.065,0.065,0.065,0.0255595216383106,0.05,0.05,0.05,0.0054699154649425,0.08851058286598663,0.06833015782526645,0.08768615055196038,0.06914296428665205,0.089423542881327,0.06861164447262642,0.04941105755035454,0.02865537833193095
0.07,0.07,0.07,0.0308209363520309,0.045,0.045,0.045,0.0051565185686753,0.08135082979634635,0.06502621581961768,0.08168760917181359,0.06664148154446155,0.0840851918830916,0.06576008166156867,0.04164530771852433,0.024767343601738732
0.07,0.07,0.07,0.0294048581939625,0.04,0.04,0.04,-2.604234485237278e-05,0.07967981120764281,0.06491688202422682,0.08020284218297766,0.06529682424084997,0.0828833866572078,0.06391030315663343,0.04018856900751006,0.02257931471656976
0.065,0.065,0.065,0.0225033323750033,0.04,0.04,0.04,0.0,0.07264099084405941,0.06538144452010208,0.07411377599052436,0.0660145134396714,0.07535884188106474,0.06532004933135267,0.035249060555578166,0.023421343498226752
0.06,0.06,0.06,0.0202975585606712,0.045,0.045,0.045,0.0,0.08311053070146371,0.07657658126497352,0.08565271440192718,0.07795884332780574,0.08447776910679515,0.08055279511826657,0.042634164451004104,0.03719880354878065
0.06,0.06,0.06,0.020067761271827,0.04,0.04,0.04,-0.000312597686777,0.07915165004497784,0.07710035380151488,0.07947403680219987,0.07804150948057681,0.07922226754733025,0.07693411414278639,0.03894014416395133,0.03441995691844322
0.065,0.065,0.065,0.0240592870935755,0.04,0.04,0.04,0.0,0.08064090005107588,0.07413064591147656,0.08153789888265028,0.07584853599265533,0.08022501234581661,0.07707799749160207,0.04222386978994214,0.03168700144868991
0.06,0.06,0.06,0.0178408170728521,0.04,0.04,0.04,-0.0003386563159402,0.08728029780335889,0.08018046444787974,0.0870363418919501,0.08240421179625197,0.0868933305410416,0.08223136339764014,0.048020473643281374,0.039617367913444196
0.045,0.045,0.045,0.004664008963235,0.045,0.045,0.045,2.617732520093785e-05,0.09063711835471021,0.07685823102648551,0.09283516914453462,0.07680607807449459,0.09194818306306068,0.07706346781120567,0.05408009766139803,0.03515465693086531
0.04,0.04,0.04,-0.0009122898475173,0.04,0.04,0.04,-0.0007557791040107,0.0937147827203404,0.07812295533378034,0.09711238677557314,0.07763244508198447,0.09719121464464267,0.07614623327698385,0.05482293311662049,0.035373018554086894
0.055,0.055,0.055,0.013621418506341,0.045,0.045,0.045,0.0051824266256932,0.08894034802664057,0.07110876414489535,0.09043073899885107,0.07393475838926436,0.08996200556099881,0.07068796684787143,0.04897871764070636,0.031788973516231604
0.065,0.065,0.065,0.0232436667537215,0.055,0.055,0.055,0.0143929912390488,0.0979753037592623,0.08630763820903406,0.09949519297781832,0.0855877981427234,0.09901319951929786,0.08451275451720887,0.058985791389281755,0.04371121066714379
0.06,0.06,0.06,0.0205017323573084,0.065,0.065,0.065,0.0215827338129498,0.09903941217374389,0.08446585399127386,0.10171042210020051,0.08679614152628076,0.1002527308848681,0.08523805609188974,0.06121678402444175,0.04444040803730838
0.06,0.06,0.06,0.0198123044838374,0.07,0.07,0.07,0.0306441525953722,0.08713692469224656,0.07584155459901404,0.08995221108924913,0.08151951609514857,0.09060255697912585,0.07584098058339026,0.04920066024421085,0.03794744049089132
0.06,0.06,0.06,0.0190451343595097,0.07,0.07,0.07,0.0312247714784239,0.0756819319790741,0.08379923863148513,0.07636342134651462,0.0849702106005854,0.07400127242641431,0.08491663371582636,0.03683965009395634,0.04200488410075702
0.065,0.065,0.065,0.0234222001723373,0.07,0.07,0.07,0.0291515515306521,0.0901057948564711,0.08262915928451005,0.09326765378012869,0.08171133884928368,0.09116849333366187,0.08256950805475344,0.05183119688236686,0.04263550462300087
0.055,0.055,0.055,0.0151633578239798,0.075,0.075,0.075,0.0327050273195472,0.10521114304300669,0.1237709124561661,0.10521101086509602,0.12389472070629551,0.10285554585029143,0.12415624655515903,0.06826482068473048,0.08636046871459394
0.06,0.06,0.06,0.0198634064960117,0.065,0.065,0.065,0.0255595216383106,0.10076573583798143,0.1227801067523298,0.10139107312184951,0.12349569030115981,0.1016312119468891,0.12417124540535149,0.06300304895720518,0.08493554060638497
0.065,0.065,0.065,0.0240592870935754,0.07,0.07,0.07,0.0308209363520309,0.1037378394880545,0.11011963342649587,0.10336177383081989,0.10940762479948654,0.10522392790184174,0.11082046480359127,0.06475180398458044,0.07108478795347548
